"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 15 09:00:16 GMT 2022","Wed Jun 15 09:00:17 GMT 2022","354","","Отправляем http запросы","","Отправляем http запросы","fakemail.ru - format_not_valid","fakemail.ru - format_not_valid",""
"failed","Wed Jun 15 09:00:17 GMT 2022","Wed Jun 15 09:00:17 GMT 2022","152","","Отправляем http запросы","","Отправляем http запросы","@mail.ru - format_not_valid","@mail.ru - format_not_valid",""
"failed","Wed Jun 15 09:00:17 GMT 2022","Wed Jun 15 09:00:17 GMT 2022","119","","Отправляем http запросы","","Отправляем http запросы","fake@.ru - format_not_valid","fake@.ru - format_not_valid",""
"passed","Wed Jun 15 09:00:17 GMT 2022","Wed Jun 15 09:00:17 GMT 2022","168","","Отправляем http запросы","","Отправляем http запросы","Проверка валидности email без api_key, get email_verification/check?email= 401","Проверка валидности email без api_key, get email_verification/check?email= 401",""
"passed","Wed Jun 15 09:00:16 GMT 2022","Wed Jun 15 09:00:16 GMT 2022","363","","Отправляем http запросы","","Отправляем http запросы"," - no_email_address_spplied"," - no_email_address_spplied",""
"passed","Wed Jun 15 09:00:15 GMT 2022","Wed Jun 15 09:00:16 GMT 2022","1387","","Отправляем http запросы","","Отправляем http запросы","Проверка валидности email, get email_verification/check?email= 200","Проверка валидности email, get email_verification/check?email= 200",""
"failed","Wed Jun 15 09:00:17 GMT 2022","Wed Jun 15 09:00:17 GMT 2022","138","","Отправляем http запросы","","Отправляем http запросы","fake@mail. - format_not_valid","fake@mail. - format_not_valid",""
