"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 10 08:33:20 GMT 2022","Fri Jun 10 08:33:21 GMT 2022","322","","Отправляем http запросы","","Отправляем http запросы","fakemail.ru - format_not_valid","fakemail.ru - format_not_valid",""
"passed","Fri Jun 10 08:33:20 GMT 2022","Fri Jun 10 08:33:20 GMT 2022","468","","Отправляем http запросы","","Отправляем http запросы"," - no_email_address_spplied"," - no_email_address_spplied",""
"passed","Fri Jun 10 08:33:22 GMT 2022","Fri Jun 10 08:33:22 GMT 2022","136","","Отправляем http запросы","","Отправляем http запросы","Проверка валидности email без api_key, get email_verification/check?email= 401","Проверка валидности email без api_key, get email_verification/check?email= 401",""
"passed","Fri Jun 10 08:33:21 GMT 2022","Fri Jun 10 08:33:21 GMT 2022","379","","Отправляем http запросы","","Отправляем http запросы","fake@.ru - format_not_valid","fake@.ru - format_not_valid",""
"passed","Fri Jun 10 08:33:21 GMT 2022","Fri Jun 10 08:33:22 GMT 2022","323","","Отправляем http запросы","","Отправляем http запросы","fake@mail. - format_not_valid","fake@mail. - format_not_valid",""
"passed","Fri Jun 10 08:33:19 GMT 2022","Fri Jun 10 08:33:20 GMT 2022","857","","Отправляем http запросы","","Отправляем http запросы","Проверка валидности email, get email_verification/check?email= 200","Проверка валидности email, get email_verification/check?email= 200",""
"passed","Fri Jun 10 08:33:21 GMT 2022","Fri Jun 10 08:33:21 GMT 2022","409","","Отправляем http запросы","","Отправляем http запросы","@mail.ru - format_not_valid","@mail.ru - format_not_valid",""
